image path,green_players_alive,green_ability_count,green_health_1,green_health_2,green_health_3,green_health_4,green_health_5,green_ults,red_players_alive,red_ability_count,red_health_1,red_health_2,red_health_3,red_health_4,red_health_5,red_ults,spike_countdown,green_win
output/screenshots/1718764850.1093102.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764850.767768.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764851.4175844.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764852.0722115.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0.5,0
output/screenshots/1718764852.7376595.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,1.0,0
output/screenshots/1718764853.4090502.png,1,3,309,0,0,0,0,0,3,2,310,311,310,0,0,0,1.5,0
output/screenshots/1718764854.0588431.png,1,3,309,0,0,0,0,0,3,2,310,311,310,0,0,0,2.0,0
output/screenshots/1718764854.7165527.png,0,0,0,0,0,0,0,0,3,2,311,311,310,0,0,0,2.5,0
output/screenshots/1718764855.3992684.png,0,0,0,0,0,0,0,0,3,2,308,311,311,0,0,0,3.0,0
output/screenshots/1718764856.0578215.png,0,0,0,0,0,0,0,0,3,2,310,312,310,0,0,0,3.5,0
output/screenshots/1718764912.1141698.png,5,17,310,309,309,309,309,0,5,22,310,310,310,310,311,0,0,0
output/screenshots/1718764912.7421243.png,5,17,309,309,309,309,309,0,5,21,310,311,310,310,311,0,0,0
output/screenshots/1718764913.3472507.png,5,16,309,309,309,309,309,0,5,21,310,311,311,310,310,0,0,0
output/screenshots/1718764913.9961364.png,5,16,309,309,309,309,309,0,5,21,310,310,311,310,310,0,0,0
output/screenshots/1718764914.640978.png,5,16,309,309,309,309,309,0,5,20,310,310,311,310,310,0,0,0
output/screenshots/1718764915.3029745.png,5,16,309,309,309,309,309,0,5,20,311,310,310,310,310,0,0,0
output/screenshots/1718764915.9984999.png,5,16,309,309,309,309,309,0,5,20,310,310,310,310,310,0,0,0
output/screenshots/1718764916.6640997.png,5,16,309,309,309,309,309,0,5,20,310,310,310,310,310,0,0,0
output/screenshots/1718764917.3389719.png,5,16,309,309,309,309,309,0,5,20,310,310,310,310,310,0,0,0
output/screenshots/1718764918.0227907.png,5,16,309,309,309,309,309,0,5,20,310,310,311,310,311,0,0,0
output/screenshots/1718764918.7446718.png,5,16,309,309,309,309,309,0,5,20,310,310,310,310,311,0,0,0
